"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
458,,103.000000,109.000000,0,109,0,0,yes,1.000000
457,,699.000000,722.000000,0,722,0,0,yes,1.000000
456,,192.000000,201.000000,0,201,0,0,yes,1.000000
455,,2068.000000,3406.000000,0,3406,0,0,yes,1.000000
454,,318.000000,342.000000,0,342,0,0,yes,1.000000
453,,1823.000000,3034.000000,0,3034,0,0,yes,1.000000
452,,885.000000,938.000000,0,938,0,0,yes,1.000000
451,,4033.000000,6083.000000,0,6083,0,0,yes,1.000000
450,,4720.000000,6547.000000,0,6547,0,0,yes,1.000000
449,,11.000000,11.000000,0,11,0,0,yes,1.000000
448,,415.000000,433.000000,0,433,0,0,yes,1.000000
447,,29.000000,33.000000,0,33,0,0,yes,1.000000
446,,10.000000,10.000000,0,10,0,0,yes,1.000000
445,,6.000000,6.000000,0,6,0,0,yes,1.000000
444,,703.000000,709.000000,0,709,0,0,yes,1.000000
443,,68.000000,73.000000,0,73,0,0,yes,1.000000
442,,10.000000,11.000000,0,11,0,0,yes,1.000000
441,,64.000000,80.000000,0,80,0,0,yes,1.000000
440,,70.000000,71.000000,0,71,0,0,yes,1.000000
439,,4977.000000,7422.000000,0,7422,0,0,yes,1.000000
438,,178.000000,180.000000,0,180,0,0,yes,1.000000
437,,1679.000000,2840.000000,0,2840,0,0,yes,1.000000
436,,1065.000000,1376.000000,0,1376,0,0,yes,1.000000
435,,4073.000000,5475.000000,0,5475,0,0,yes,1.000000
434,,82.000000,85.000000,0,85,0,0,yes,1.000000
433,,569.000000,570.000000,0,570,0,0,yes,1.000000
432,,44.000000,44.000000,0,44,0,0,yes,1.000000
431,,1441.000000,1445.000000,0,1445,0,0,yes,1.000000
430,,167.000000,168.000000,0,168,0,0,yes,1.000000
429,,1110.000000,1130.000000,0,1130,0,0,yes,1.000000
428,,117.000000,122.000000,0,122,0,0,yes,1.000000
427,,1177.000000,1193.000000,0,1193,0,0,yes,1.000000
426,,956.000000,988.000000,0,988,0,0,yes,1.000000
425,,558.000000,585.000000,0,585,0,0,yes,1.000000
424,,492.000000,522.000000,0,522,0,0,yes,1.000000
423,,2779.000000,4222.000000,0,4222,0,0,yes,1.000000
422,,2770.000000,4143.000000,0,4143,0,0,yes,1.000000
421,,5671.000000,7813.000000,0,7813,0,0,yes,1.000000
420,,10.000000,11.000000,0,11,0,0,yes,1.000000
419,,5383.000000,7063.000000,0,7063,0,0,yes,1.000000
418,,2991.000000,3694.000000,0,3694,0,0,yes,1.000000
417,,4792.000000,6766.000000,0,6766,0,0,yes,1.000000
416,,713.000000,973.000000,0,973,0,0,yes,1.000000
415,,607.000000,607.000000,0,607,0,0,yes,1.000000
414,,944.000000,1015.000000,0,1015,0,0,yes,1.000000
413,,5773.000000,5856.000000,0,5856,0,0,yes,1.000000
412,,315.000000,599.000000,0,599,0,0,yes,1.000000
411,,468.000000,473.000000,0,473,0,0,yes,1.000000
410,,120.000000,120.000000,0,120,0,0,yes,1.000000
409,,838.000000,842.000000,0,842,0,0,yes,1.000000
408,,2626.000000,2626.000000,0,2626,0,0,yes,1.000000
407,,39.000000,42.000000,0,42,0,0,yes,1.000000
406,,1849.000000,2195.000000,0,2195,0,0,yes,1.000000
405,,10.000000,10.000000,0,10,0,0,yes,1.000000
404,,874.000000,875.000000,0,875,0,0,yes,1.000000
403,,1864.000000,2435.000000,0,2435,0,0,yes,1.000000
402,,592.000000,594.000000,0,594,0,0,yes,1.000000
401,,368.000000,437.000000,0,437,0,0,yes,1.000000
400,,330.000000,358.000000,0,358,0,0,yes,1.000000
399,,54.000000,54.000000,0,54,0,0,yes,1.000000
398,,43.000000,50.000000,0,50,0,0,yes,1.000000
397,,224.000000,227.000000,0,227,0,0,yes,1.000000
396,,103.000000,165.000000,0,165,0,0,yes,1.000000
395,,87.000000,116.000000,0,116,0,0,yes,1.000000
394,,11.000000,11.000000,0,11,0,0,yes,1.000000
393,,5310.000000,7526.000000,0,7526,0,0,yes,1.000000
392,,272.000000,347.000000,0,347,0,0,yes,1.000000
