"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
458,,103.000000,117.000000,0,117,0,0,yes,1.000000
457,,699.000000,705.000000,0,705,0,0,yes,1.000000
456,,192.000000,195.000000,0,195,0,0,yes,1.000000
455,,2068.000000,3412.000000,0,3412,0,0,yes,1.000000
454,,318.000000,351.000000,0,351,0,0,yes,1.000000
453,,1823.000000,3066.000000,0,3066,0,0,yes,1.000000
452,,885.000000,940.000000,0,940,0,0,yes,1.000000
451,,4033.000000,6016.000000,0,6016,0,0,yes,1.000000
450,,4720.000000,6544.000000,0,6544,0,0,yes,1.000000
449,,11.000000,11.000000,0,11,0,0,yes,1.000000
448,,415.000000,426.000000,0,426,0,0,yes,1.000000
447,,29.000000,32.000000,0,32,0,0,yes,1.000000
446,,10.000000,10.000000,0,10,0,0,yes,1.000000
445,,6.000000,6.000000,0,6,0,0,yes,1.000000
444,,703.000000,703.000000,0,703,0,0,yes,1.000000
443,,68.000000,78.000000,0,78,0,0,yes,1.000000
442,,10.000000,11.000000,0,11,0,0,yes,1.000000
441,,64.000000,86.000000,0,86,0,0,yes,1.000000
440,,70.000000,74.000000,0,74,0,0,yes,1.000000
439,,4977.000000,7421.000000,0,7421,0,0,yes,1.000000
438,,178.000000,178.000000,0,178,0,0,yes,1.000000
437,,1679.000000,2869.000000,0,2869,0,0,yes,1.000000
436,,1065.000000,1367.000000,0,1367,0,0,yes,1.000000
435,,4073.000000,5465.000000,0,5465,0,0,yes,1.000000
434,,82.000000,83.000000,0,83,0,0,yes,1.000000
433,,569.000000,577.000000,0,577,0,0,yes,1.000000
432,,44.000000,47.000000,0,47,0,0,yes,1.000000
431,,1441.000000,1466.000000,0,1466,0,0,yes,1.000000
430,,167.000000,167.000000,0,167,0,0,yes,1.000000
429,,1110.000000,1128.000000,0,1128,0,0,yes,1.000000
428,,117.000000,118.000000,0,118,0,0,yes,1.000000
427,,1177.000000,1181.000000,0,1181,0,0,yes,1.000000
426,,956.000000,976.000000,0,976,0,0,yes,1.000000
425,,558.000000,603.000000,0,603,0,0,yes,1.000000
424,,492.000000,503.000000,0,503,0,0,yes,1.000000
423,,2779.000000,4239.000000,0,4239,0,0,yes,1.000000
422,,2770.000000,4163.000000,0,4163,0,0,yes,1.000000
421,,5671.000000,7806.000000,0,7806,0,0,yes,1.000000
420,,10.000000,15.000000,0,15,0,0,yes,1.000000
419,,5383.000000,7058.000000,0,7058,0,0,yes,1.000000
418,,2991.000000,3678.000000,0,3678,0,0,yes,1.000000
417,,4792.000000,6743.000000,0,6743,0,0,yes,1.000000
416,,713.000000,970.000000,0,970,0,0,yes,1.000000
415,,607.000000,607.000000,0,607,0,0,yes,1.000000
414,,944.000000,1047.000000,0,1047,0,0,yes,1.000000
413,,5773.000000,5863.000000,0,5863,0,0,yes,1.000000
412,,315.000000,564.000000,0,564,0,0,yes,1.000000
411,,468.000000,473.000000,0,473,0,0,yes,1.000000
410,,120.000000,121.000000,0,121,0,0,yes,1.000000
409,,838.000000,838.000000,0,838,0,0,yes,1.000000
408,,2626.000000,2626.000000,0,2626,0,0,yes,1.000000
407,,39.000000,46.000000,0,46,0,0,yes,1.000000
406,,1849.000000,2226.000000,0,2226,0,0,yes,1.000000
405,,10.000000,10.000000,0,10,0,0,yes,1.000000
404,,874.000000,875.000000,0,875,0,0,yes,1.000000
403,,1864.000000,2428.000000,0,2428,0,0,yes,1.000000
402,,592.000000,593.000000,0,593,0,0,yes,1.000000
401,,368.000000,432.000000,0,432,0,0,yes,1.000000
400,,330.000000,377.000000,0,377,0,0,yes,1.000000
399,,54.000000,55.000000,0,55,0,0,yes,1.000000
398,,43.000000,47.000000,0,47,0,0,yes,1.000000
397,,224.000000,230.000000,0,230,0,0,yes,1.000000
396,,103.000000,164.000000,0,164,0,0,yes,1.000000
395,,87.000000,124.000000,0,124,0,0,yes,1.000000
394,,11.000000,12.000000,0,12,0,0,yes,1.000000
393,,5310.000000,7487.000000,0,7487,0,0,yes,1.000000
392,,272.000000,351.000000,0,351,0,0,yes,1.000000
391,,1662.000000,2845.000000,0,2845,0,0,yes,1.000000
390,,4610.000000,7102.000000,0,7102,0,0,yes,1.000000
389,,4361.000000,6550.000000,0,6550,0,0,yes,1.000000
388,,1547.000000,2352.000000,0,2352,0,0,yes,1.000000
387,,546.000000,550.000000,0,550,0,0,yes,1.000000
386,,37.000000,37.000000,0,37,0,0,yes,1.000000
385,,635.000000,660.000000,0,660,0,0,yes,1.000000
384,,1575.000000,1584.000000,0,1584,0,0,yes,1.000000
383,,98.000000,110.000000,0,110,0,0,yes,1.000000
382,,99.000000,101.000000,0,101,0,0,yes,1.000000
381,,703.000000,706.000000,0,706,0,0,yes,1.000000
380,,230.000000,236.000000,0,236,0,0,yes,1.000000
379,,3431.000000,4850.000000,0,4850,0,0,yes,1.000000
378,,1652.000000,2519.000000,0,2519,0,0,yes,1.000000
377,,345.000000,358.000000,0,358,0,0,yes,1.000000
376,,2070.000000,2343.000000,0,2343,0,0,yes,1.000000
375,,3147.000000,4030.000000,0,4030,0,0,yes,1.000000
374,,1984.000000,2592.000000,0,2592,0,0,yes,1.000000
373,,1954.000000,2359.000000,0,2359,0,0,yes,1.000000
372,,937.000000,1181.000000,0,1181,0,0,yes,1.000000
371,,1713.000000,1713.000000,0,1713,0,0,yes,1.000000
370,,723.000000,912.000000,0,912,0,0,yes,1.000000
369,,73.000000,87.000000,0,87,0,0,yes,1.000000
